[2024-05-10 13:48:41,287][train_prior.py][line:134][INFO] Epoch:00, 00160/64000, loss: 90.0324, time: 5.794, lr: [0.0002]
[2024-05-10 13:48:44,633][train_prior.py][line:134][INFO] Epoch:00, 00320/64000, loss: 63.6840, time: 3.345, lr: [0.0002]
[2024-05-10 13:48:47,962][train_prior.py][line:134][INFO] Epoch:00, 00480/64000, loss: 52.0076, time: 3.329, lr: [0.0002]
[2024-05-10 13:48:51,297][train_prior.py][line:134][INFO] Epoch:00, 00640/64000, loss: 45.7360, time: 3.335, lr: [0.0002]
[2024-05-10 13:48:54,647][train_prior.py][line:134][INFO] Epoch:00, 00800/64000, loss: 41.9348, time: 3.350, lr: [0.0002]
[2024-05-10 13:48:57,965][train_prior.py][line:134][INFO] Epoch:00, 00960/64000, loss: 39.4319, time: 3.318, lr: [0.0002]
[2024-05-10 13:49:01,298][train_prior.py][line:134][INFO] Epoch:00, 01120/64000, loss: 37.3290, time: 3.333, lr: [0.0002]
[2024-05-10 13:49:04,633][train_prior.py][line:134][INFO] Epoch:00, 01280/64000, loss: 35.8034, time: 3.336, lr: [0.0002]
[2024-05-10 13:49:07,970][train_prior.py][line:134][INFO] Epoch:00, 01440/64000, loss: 34.5484, time: 3.337, lr: [0.0002]
[2024-05-10 13:49:11,290][train_prior.py][line:134][INFO] Epoch:00, 01600/64000, loss: 33.4887, time: 3.320, lr: [0.0002]
[2024-05-10 13:49:14,616][train_prior.py][line:134][INFO] Epoch:00, 01760/64000, loss: 32.2496, time: 3.326, lr: [0.0002]
[2024-05-10 13:49:17,924][train_prior.py][line:134][INFO] Epoch:00, 01920/64000, loss: 31.0344, time: 3.308, lr: [0.0002]
[2024-05-10 13:49:21,384][train_prior.py][line:134][INFO] Epoch:00, 02080/64000, loss: 29.9352, time: 3.460, lr: [0.0002]
[2024-05-10 13:49:24,796][train_prior.py][line:134][INFO] Epoch:00, 02240/64000, loss: 28.9778, time: 3.412, lr: [0.0002]
[2024-05-10 13:49:28,159][train_prior.py][line:134][INFO] Epoch:00, 02400/64000, loss: 28.1528, time: 3.363, lr: [0.0002]
[2024-05-10 13:49:31,532][train_prior.py][line:134][INFO] Epoch:00, 02560/64000, loss: 27.5518, time: 3.372, lr: [0.0002]
[2024-05-10 13:49:34,875][train_prior.py][line:134][INFO] Epoch:00, 02720/64000, loss: 26.8706, time: 3.343, lr: [0.0002]
[2024-05-10 13:49:38,228][train_prior.py][line:134][INFO] Epoch:00, 02880/64000, loss: 26.1993, time: 3.353, lr: [0.0002]
[2024-05-10 13:49:41,589][train_prior.py][line:134][INFO] Epoch:00, 03040/64000, loss: 25.6572, time: 3.360, lr: [0.0002]
[2024-05-10 13:49:45,005][train_prior.py][line:134][INFO] Epoch:00, 03200/64000, loss: 25.0940, time: 3.417, lr: [0.0002]
[2024-05-10 13:49:48,344][train_prior.py][line:134][INFO] Epoch:00, 03360/64000, loss: 24.6149, time: 3.338, lr: [0.0002]
[2024-05-10 13:49:51,805][train_prior.py][line:134][INFO] Epoch:00, 03520/64000, loss: 24.1808, time: 3.461, lr: [0.0002]
[2024-05-10 13:49:55,141][train_prior.py][line:134][INFO] Epoch:00, 03680/64000, loss: 23.7566, time: 3.336, lr: [0.0002]
[2024-05-10 13:49:58,470][train_prior.py][line:134][INFO] Epoch:00, 03840/64000, loss: 23.3693, time: 3.329, lr: [0.0002]
[2024-05-10 13:50:01,855][train_prior.py][line:134][INFO] Epoch:00, 04000/64000, loss: 23.0561, time: 3.385, lr: [0.0002]
[2024-05-10 13:50:05,199][train_prior.py][line:134][INFO] Epoch:00, 04160/64000, loss: 22.7480, time: 3.343, lr: [0.0002]
[2024-05-10 13:50:08,556][train_prior.py][line:134][INFO] Epoch:00, 04320/64000, loss: 22.4378, time: 3.357, lr: [0.0002]
[2024-05-10 13:50:11,947][train_prior.py][line:134][INFO] Epoch:00, 04480/64000, loss: 22.1401, time: 3.391, lr: [0.0002]
[2024-05-10 13:50:15,271][train_prior.py][line:134][INFO] Epoch:00, 04640/64000, loss: 21.8288, time: 3.324, lr: [0.0002]
[2024-05-10 13:50:18,684][train_prior.py][line:134][INFO] Epoch:00, 04800/64000, loss: 21.5761, time: 3.413, lr: [0.0002]
[2024-05-10 13:50:22,055][train_prior.py][line:134][INFO] Epoch:00, 04960/64000, loss: 21.3224, time: 3.371, lr: [0.0002]
[2024-05-10 13:50:25,388][train_prior.py][line:134][INFO] Epoch:00, 05120/64000, loss: 21.0765, time: 3.333, lr: [0.0002]
[2024-05-10 13:50:28,723][train_prior.py][line:134][INFO] Epoch:00, 05280/64000, loss: 20.8256, time: 3.335, lr: [0.0002]
[2024-05-10 13:50:32,087][train_prior.py][line:134][INFO] Epoch:00, 05440/64000, loss: 20.6039, time: 3.364, lr: [0.0002]
[2024-05-10 13:50:35,456][train_prior.py][line:134][INFO] Epoch:00, 05600/64000, loss: 20.4148, time: 3.369, lr: [0.0002]
[2024-05-10 13:50:38,835][train_prior.py][line:134][INFO] Epoch:00, 05760/64000, loss: 20.2015, time: 3.379, lr: [0.0002]
[2024-05-10 13:50:42,183][train_prior.py][line:134][INFO] Epoch:00, 05920/64000, loss: 19.9871, time: 3.347, lr: [0.0002]
[2024-05-10 13:50:45,523][train_prior.py][line:134][INFO] Epoch:00, 06080/64000, loss: 19.8011, time: 3.340, lr: [0.0002]
[2024-05-10 13:50:48,881][train_prior.py][line:134][INFO] Epoch:00, 06240/64000, loss: 19.5709, time: 3.357, lr: [0.0002]
[2024-05-10 13:50:52,264][train_prior.py][line:134][INFO] Epoch:00, 06400/64000, loss: 19.3772, time: 3.383, lr: [0.0002]
[2024-05-10 13:50:55,615][train_prior.py][line:134][INFO] Epoch:00, 06560/64000, loss: 19.1690, time: 3.351, lr: [0.0002]
[2024-05-10 13:50:58,955][train_prior.py][line:134][INFO] Epoch:00, 06720/64000, loss: 18.9908, time: 3.339, lr: [0.0002]
[2024-05-10 13:51:02,312][train_prior.py][line:134][INFO] Epoch:00, 06880/64000, loss: 18.8172, time: 3.358, lr: [0.0002]
[2024-05-10 13:51:05,696][train_prior.py][line:134][INFO] Epoch:00, 07040/64000, loss: 18.6345, time: 3.384, lr: [0.0002]
[2024-05-10 13:51:09,040][train_prior.py][line:134][INFO] Epoch:00, 07200/64000, loss: 18.4341, time: 3.344, lr: [0.0002]
[2024-05-10 13:51:12,362][train_prior.py][line:134][INFO] Epoch:00, 07360/64000, loss: 18.2641, time: 3.322, lr: [0.0002]
[2024-05-10 13:51:15,732][train_prior.py][line:134][INFO] Epoch:00, 07520/64000, loss: 18.1056, time: 3.370, lr: [0.0002]
[2024-05-10 13:51:19,109][train_prior.py][line:134][INFO] Epoch:00, 07680/64000, loss: 17.9403, time: 3.377, lr: [0.0002]
[2024-05-10 13:51:22,471][train_prior.py][line:134][INFO] Epoch:00, 07840/64000, loss: 17.8011, time: 3.362, lr: [0.0002]
[2024-05-10 13:51:25,850][train_prior.py][line:134][INFO] Epoch:00, 08000/64000, loss: 17.6733, time: 3.379, lr: [0.0002]
[2024-05-10 13:51:29,220][train_prior.py][line:134][INFO] Epoch:00, 08160/64000, loss: 17.5482, time: 3.370, lr: [0.0002]
[2024-05-10 13:51:32,559][train_prior.py][line:134][INFO] Epoch:00, 08320/64000, loss: 17.4155, time: 3.340, lr: [0.0002]
[2024-05-10 13:51:35,945][train_prior.py][line:134][INFO] Epoch:00, 08480/64000, loss: 17.3009, time: 3.385, lr: [0.0002]
[2024-05-10 13:51:39,265][train_prior.py][line:134][INFO] Epoch:00, 08640/64000, loss: 17.1636, time: 3.321, lr: [0.0002]
[2024-05-10 13:51:42,625][train_prior.py][line:134][INFO] Epoch:00, 08800/64000, loss: 17.0434, time: 3.359, lr: [0.0002]
[2024-05-10 13:51:45,960][train_prior.py][line:134][INFO] Epoch:00, 08960/64000, loss: 16.9195, time: 3.335, lr: [0.0002]
[2024-05-10 13:51:49,323][train_prior.py][line:134][INFO] Epoch:00, 09120/64000, loss: 16.7973, time: 3.363, lr: [0.0002]
[2024-05-10 13:51:52,702][train_prior.py][line:134][INFO] Epoch:00, 09280/64000, loss: 16.6717, time: 3.379, lr: [0.0002]
[2024-05-10 13:51:56,055][train_prior.py][line:134][INFO] Epoch:00, 09440/64000, loss: 16.5616, time: 3.353, lr: [0.0002]
[2024-05-10 13:51:59,446][train_prior.py][line:134][INFO] Epoch:00, 09600/64000, loss: 16.4498, time: 3.391, lr: [0.0002]
[2024-05-10 13:52:02,868][train_prior.py][line:134][INFO] Epoch:00, 09760/64000, loss: 16.3501, time: 3.422, lr: [0.0002]
[2024-05-10 13:52:06,232][train_prior.py][line:134][INFO] Epoch:00, 09920/64000, loss: 16.2481, time: 3.364, lr: [0.0002]
[2024-05-10 13:52:09,601][train_prior.py][line:134][INFO] Epoch:00, 10080/64000, loss: 16.1567, time: 3.369, lr: [0.0002]
[2024-05-10 13:52:12,976][train_prior.py][line:134][INFO] Epoch:00, 10240/64000, loss: 16.0555, time: 3.375, lr: [0.0002]
[2024-05-10 13:52:16,290][train_prior.py][line:134][INFO] Epoch:00, 10400/64000, loss: 15.9436, time: 3.314, lr: [0.0002]
[2024-05-10 13:52:19,637][train_prior.py][line:134][INFO] Epoch:00, 10560/64000, loss: 15.8483, time: 3.347, lr: [0.0002]
[2024-05-10 13:52:23,021][train_prior.py][line:134][INFO] Epoch:00, 10720/64000, loss: 15.7592, time: 3.384, lr: [0.0002]
[2024-05-10 13:52:26,374][train_prior.py][line:134][INFO] Epoch:00, 10880/64000, loss: 15.6873, time: 3.353, lr: [0.0002]
[2024-05-10 13:52:29,705][train_prior.py][line:134][INFO] Epoch:00, 11040/64000, loss: 15.6115, time: 3.331, lr: [0.0002]
[2024-05-10 13:52:33,041][train_prior.py][line:134][INFO] Epoch:00, 11200/64000, loss: 15.5466, time: 3.336, lr: [0.0002]
[2024-05-10 13:52:36,361][train_prior.py][line:134][INFO] Epoch:00, 11360/64000, loss: 15.4685, time: 3.320, lr: [0.0002]
[2024-05-10 13:52:39,694][train_prior.py][line:134][INFO] Epoch:00, 11520/64000, loss: 15.4029, time: 3.332, lr: [0.0002]
[2024-05-10 13:52:43,044][train_prior.py][line:134][INFO] Epoch:00, 11680/64000, loss: 15.3275, time: 3.350, lr: [0.0002]
[2024-05-10 13:52:46,368][train_prior.py][line:134][INFO] Epoch:00, 11840/64000, loss: 15.2621, time: 3.325, lr: [0.0002]
[2024-05-10 13:52:49,727][train_prior.py][line:134][INFO] Epoch:00, 12000/64000, loss: 15.1989, time: 3.358, lr: [0.0002]
[2024-05-10 13:52:53,093][train_prior.py][line:134][INFO] Epoch:00, 12160/64000, loss: 15.1402, time: 3.366, lr: [0.0002]
[2024-05-10 13:52:56,436][train_prior.py][line:134][INFO] Epoch:00, 12320/64000, loss: 15.0726, time: 3.343, lr: [0.0002]
[2024-05-10 13:52:59,768][train_prior.py][line:134][INFO] Epoch:00, 12480/64000, loss: 15.0236, time: 3.332, lr: [0.0002]
[2024-05-10 13:53:03,183][train_prior.py][line:134][INFO] Epoch:00, 12640/64000, loss: 14.9554, time: 3.415, lr: [0.0002]
[2024-05-10 13:53:06,552][train_prior.py][line:134][INFO] Epoch:00, 12800/64000, loss: 14.9001, time: 3.370, lr: [0.0002]
[2024-05-10 13:53:09,917][train_prior.py][line:134][INFO] Epoch:00, 12960/64000, loss: 14.8484, time: 3.365, lr: [0.0002]
[2024-05-10 13:53:13,250][train_prior.py][line:134][INFO] Epoch:00, 13120/64000, loss: 14.7862, time: 3.333, lr: [0.0002]
[2024-05-10 13:53:16,613][train_prior.py][line:134][INFO] Epoch:00, 13280/64000, loss: 14.7233, time: 3.363, lr: [0.0002]
[2024-05-10 13:53:20,006][train_prior.py][line:134][INFO] Epoch:00, 13440/64000, loss: 14.6663, time: 3.393, lr: [0.0002]
[2024-05-10 13:53:23,374][train_prior.py][line:134][INFO] Epoch:00, 13600/64000, loss: 14.6167, time: 3.368, lr: [0.0002]
[2024-05-10 13:53:26,689][train_prior.py][line:134][INFO] Epoch:00, 13760/64000, loss: 14.5650, time: 3.314, lr: [0.0002]
[2024-05-10 13:53:30,006][train_prior.py][line:134][INFO] Epoch:00, 13920/64000, loss: 14.5055, time: 3.318, lr: [0.0002]
[2024-05-10 13:53:33,376][train_prior.py][line:134][INFO] Epoch:00, 14080/64000, loss: 14.4534, time: 3.369, lr: [0.0002]
[2024-05-10 13:53:36,745][train_prior.py][line:134][INFO] Epoch:00, 14240/64000, loss: 14.3961, time: 3.369, lr: [0.0002]
[2024-05-10 13:53:40,113][train_prior.py][line:134][INFO] Epoch:00, 14400/64000, loss: 14.3532, time: 3.368, lr: [0.0002]
[2024-05-10 13:53:43,483][train_prior.py][line:134][INFO] Epoch:00, 14560/64000, loss: 14.3094, time: 3.370, lr: [0.0002]
[2024-05-10 13:53:46,826][train_prior.py][line:134][INFO] Epoch:00, 14720/64000, loss: 14.2622, time: 3.343, lr: [0.0002]
[2024-05-10 13:53:50,180][train_prior.py][line:134][INFO] Epoch:00, 14880/64000, loss: 14.2189, time: 3.354, lr: [0.0002]
[2024-05-10 13:53:53,565][train_prior.py][line:134][INFO] Epoch:00, 15040/64000, loss: 14.1822, time: 3.385, lr: [0.0002]
[2024-05-10 13:53:56,934][train_prior.py][line:134][INFO] Epoch:00, 15200/64000, loss: 14.1296, time: 3.369, lr: [0.0002]
[2024-05-10 13:54:00,281][train_prior.py][line:134][INFO] Epoch:00, 15360/64000, loss: 14.0832, time: 3.348, lr: [0.0002]
[2024-05-10 13:54:03,644][train_prior.py][line:134][INFO] Epoch:00, 15520/64000, loss: 14.0414, time: 3.363, lr: [0.0002]
[2024-05-10 13:54:07,010][train_prior.py][line:134][INFO] Epoch:00, 15680/64000, loss: 13.9932, time: 3.366, lr: [0.0002]
[2024-05-10 13:54:10,374][train_prior.py][line:134][INFO] Epoch:00, 15840/64000, loss: 13.9444, time: 3.365, lr: [0.0002]
[2024-05-10 13:54:13,765][train_prior.py][line:134][INFO] Epoch:00, 16000/64000, loss: 13.8987, time: 3.391, lr: [0.0002]
[2024-05-10 13:54:17,112][train_prior.py][line:134][INFO] Epoch:00, 16160/64000, loss: 13.8718, time: 3.347, lr: [0.0002]
[2024-05-10 13:54:20,473][train_prior.py][line:134][INFO] Epoch:00, 16320/64000, loss: 13.8300, time: 3.361, lr: [0.0002]
[2024-05-10 13:54:23,860][train_prior.py][line:134][INFO] Epoch:00, 16480/64000, loss: 13.7957, time: 3.387, lr: [0.0002]
[2024-05-10 13:54:27,205][train_prior.py][line:134][INFO] Epoch:00, 16640/64000, loss: 13.7585, time: 3.344, lr: [0.0002]
[2024-05-10 13:54:30,547][train_prior.py][line:134][INFO] Epoch:00, 16800/64000, loss: 13.7296, time: 3.343, lr: [0.0002]
[2024-05-10 13:54:33,921][train_prior.py][line:134][INFO] Epoch:00, 16960/64000, loss: 13.6942, time: 3.374, lr: [0.0002]
[2024-05-10 13:54:37,306][train_prior.py][line:134][INFO] Epoch:00, 17120/64000, loss: 13.6522, time: 3.385, lr: [0.0002]
[2024-05-10 13:54:40,642][train_prior.py][line:134][INFO] Epoch:00, 17280/64000, loss: 13.6087, time: 3.336, lr: [0.0002]
[2024-05-10 13:54:43,994][train_prior.py][line:134][INFO] Epoch:00, 17440/64000, loss: 13.5745, time: 3.351, lr: [0.0002]
[2024-05-10 13:54:47,335][train_prior.py][line:134][INFO] Epoch:00, 17600/64000, loss: 13.5400, time: 3.342, lr: [0.0002]
[2024-05-10 13:54:50,700][train_prior.py][line:134][INFO] Epoch:00, 17760/64000, loss: 13.5103, time: 3.365, lr: [0.0002]
[2024-05-10 13:54:54,055][train_prior.py][line:134][INFO] Epoch:00, 17920/64000, loss: 13.4856, time: 3.355, lr: [0.0002]
[2024-05-10 13:54:57,407][train_prior.py][line:134][INFO] Epoch:00, 18080/64000, loss: 13.4647, time: 3.353, lr: [0.0002]
[2024-05-10 13:55:00,766][train_prior.py][line:134][INFO] Epoch:00, 18240/64000, loss: 13.4363, time: 3.359, lr: [0.0002]
[2024-05-10 13:55:04,105][train_prior.py][line:134][INFO] Epoch:00, 18400/64000, loss: 13.4109, time: 3.339, lr: [0.0002]
[2024-05-10 13:55:07,457][train_prior.py][line:134][INFO] Epoch:00, 18560/64000, loss: 13.3750, time: 3.353, lr: [0.0002]
[2024-05-10 13:55:10,779][train_prior.py][line:134][INFO] Epoch:00, 18720/64000, loss: 13.3447, time: 3.321, lr: [0.0002]
[2024-05-10 13:55:14,131][train_prior.py][line:134][INFO] Epoch:00, 18880/64000, loss: 13.3116, time: 3.353, lr: [0.0002]
[2024-05-10 13:55:17,462][train_prior.py][line:134][INFO] Epoch:00, 19040/64000, loss: 13.2814, time: 3.331, lr: [0.0002]
[2024-05-10 13:55:20,845][train_prior.py][line:134][INFO] Epoch:00, 19200/64000, loss: 13.2480, time: 3.383, lr: [0.0002]
